HP,MPG,VOL,WT,SP
49,65.4,89,17.5,96
55,56.0,92,20.0,97
55,55.9,92,20.0,97
70,49.0,92,20.0,105
53,46.5,92,20.0,96
70,46.2,89,20.0,105
55,45.4,92,20.0,97
62,59.2,50,22.5,98
62,53.3,50,22.5,98
80,43.4,94,22.5,107
73,41.1,89,22.5,103
92,40.9,50,22.5,113
92,40.9,99,22.5,113
73,40.4,89,22.5,103
66,39.6,89,22.5,100
73,39.3,89,22.5,103
78,38.9,91,22.5,106
92,38.8,50,22.5,113
78,38.2,91,22.5,106
90,42.2,103,25.0,109
92,40.9,99,25.0,110
74,40.7,107,25.0,101
95,40.0,101,25.0,111
81,39.3,96,25.0,105
95,38.8,89,25.0,111
92,38.4,50,25.0,110
92,38.4,117,25.0,110
92,38.4,99,25.0,110
52,46.9,104,27.5,90
103,36.3,107,27.5,112
84,36.1,114,27.5,103
84,36.1,101,27.5,103
102,35.4,97,27.5,111
102,35.3,113,27.5,111
81,35.1,101,27.5,102
90,35.1,98,27.5,106
90,35.0,88,27.5,106
102,33.2,86,30.0,109
102,32.9,86,30.0,109
130,32.3,92,30.0,120
95,32.2,113,30.0,106
95,32.2,106,30.0,106
102,32.2,92,30.0,109
95,32.2,88,30.0,106
93,31.5,102,30.0,105
100,31.5,99,30.0,108
100,31.4,111,30.0,108
98,31.4,103,30.0,107
130,31.2,86,30.0,120
115,33.7,101,35.0,109
115,32.6,101,35.0,109
115,31.3,101,35.0,109
115,31.3,124,35.0,109
180,30.4,113,35.0,133
160,28.9,113,35.0,125
130,28.0,124,35.0,115
96,28.0,92,35.0,102
115,28.0,101,35.0,109
100,28.0,94,35.0,104
100,28.0,115,35.0,105
145,27.7,111,35.0,120
120,25.6,116,40.0,107
140,25.3,131,40.0,114
140,23.9,123,40.0,114
150,23.6,121,40.0,117
165,23.6,50,40.0,122
165,23.6,114,40.0,122
165,23.6,127,40.0,122
165,23.6,123,40.0,122
245,23.5,112,40.0,148
280,23.4,50,40.0,160
162,23.4,135,40.0,121
162,23.1,132,40.0,121
140,22.9,160,45.0,110
140,22.9,129,45.0,110
175,19.5,129,45.0,121
322,18.1,50,45.0,165
238,17.2,115,45.0,140
263,17.0,50,45.0,147
295,16.7,119,45.0,157
236,13.2,107,55.0,130
