obs,UN,V
1958Q4,1.915,0.510
1959Q1,1.876,0.541
1959Q2,1.842,0.541
1959Q3,1.750,0.690
1959Q4,1.648,0.771
1960Q1,1.450,0.836
1960Q2,1.393,0.908
1960Q3,1.322,0.968
1960Q4,1.260,0.998
1961Q1,1.171,0.968
1961Q2,1.182,0.964
1961Q3,1.221,0.952
1961Q4,1.340,0.849
1962Q1,1.411,0.748
1962Q2,1.600,0.658
1962Q3,1.780,0.562
1962Q4,1.941,0.510
1963Q1,2.178,0.510
1963Q2,2.067,0.544
1963Q3,1.942,0.568
1963Q4,1.764,0.677
1964Q1,1.532,0.794
1964Q2,1.455,0.838
1964Q3,1.409,0.885
1964Q4,1.296,0.978
1965Q1,1.201,0.997
1965Q2,1.192,1.035
1965Q3,1.259,1.040
1965Q4,1.192,1.086
1966Q1,1.089,1.101
1966Q2,1.101,1.058
1966Q3,1.243,0.987
1966Q4,1.623,0.819
1967Q1,1.821,0.740
1967Q2,1.990,0.661
1967Q3,2.114,0.660
1967Q4,2.115,0.698
1968Q1,2.150,0.695
1968Q2,2.141,0.732
1968Q3,2.167,0.749
1968Q4,2.107,0.800
1969Q1,2.104,0.783
1969Q2,2.056,0.800
1969Q3,2.170,0.794
1969Q4,2.161,0.790
1970Q1,2.225,0.757
1970Q2,2.241,0.746
1970Q3,2.366,0.739
1970Q4,2.324,0.707
1971Q1,2.516,0.583
1971Q2,2.909,0.524
