c1,ind,year,emp,wage,cap,indoutpt,n,w,k,ys,rec,yearm1,id,nL1,nL2,wL1,kL1,kL2,ysL1,ysL2,yr1976,yr1977,yr1978,yr1979,yr1980,yr1981,yr1982,yr1983,yr1984
1-1,7,1977,5.0409999,13.1516,.58939999,95.707199,1.6176045,2.5765433,-.52865022,4.5612936,1,1977,1,,,,,,,,0,1,0,0,0,0,0,0,0
2-1,7,1978,5.5999999,12.3018,.6318,97.356903,1.7227666,2.5097456,-.45918241,4.5783834,2,1977,1,1.6176045,,2.5765433,-.52865022,,4.5612936,,0,0,1,0,0,0,0,0,0
3-1,7,1979,5.0149999,12.8395,.6771,99.608299,1.6124334,2.5525265,-.3899363,4.6012454,3,1978,1,1.7227666,1.6176045,2.5097456,-.45918241,-.52865022,4.5783834,4.5612936,0,0,0,1,0,0,0,0,0
4-1,7,1980,4.7150002,13.8039,.6171,100.5501,1.5507489,2.6249511,-.48272419,4.6106563,4,1979,1,1.6124334,1.7227666,2.5525265,-.3899363,-.45918241,4.6012454,4.5783834,0,0,0,0,1,0,0,0,0
5-1,7,1981,4.0929999,14.2897,.50760001,99.558098,1.4092782,2.659539,-.67806154,4.6007414,5,1980,1,1.5507489,1.6124334,2.6249511,-.48272419,-.3899363,4.6106563,4.6012454,0,0,0,0,0,1,0,0,0
6-1,7,1982,3.1659999,14.8681,.42289999,98.615097,1.1524689,2.699218,-.86061954,4.5912242,6,1981,1,1.4092782,1.5507489,2.659539,-.67806154,-.48272419,4.6007414,4.6106563,0,0,0,0,0,0,1,0,0
7-1,7,1983,2.9360001,13.7784,.39199999,100.0301,1.0770482,2.6231022,-.93649346,4.6054711,7,1982,1,1.1524689,1.4092782,2.699218,-.86061954,-.67806154,4.5912242,4.6007414,0,0,0,0,0,0,0,1,0
8-1,7,1977,71.319,14.7909,16.9363,95.707199,4.2671628,2.6940122,2.8294592,4.5612936,8,1983,2,,,,,,,,0,1,0,0,0,0,0,0,0
9-1,7,1978,70.642998,14.1036,17.242201,97.356903,4.2576389,2.64643,2.8473599,4.5783834,9,1977,2,4.2671628,,2.6940122,2.8294592,,4.5612936,,0,0,1,0,0,0,0,0,0
10-1,7,1979,70.917999,14.9534,17.5413,99.608299,4.2615242,2.7049387,2.864558,4.6012454,10,1978,2,4.2576389,4.2671628,2.64643,2.8473599,2.8294592,4.5783834,4.5612936,0,0,0,1,0,0,0,0,0
11-1,7,1980,72.030998,15.491,17.6574,100.5501,4.2770967,2.7402592,2.871155,4.6106563,11,1979,2,4.2615242,4.2576389,2.7049387,2.864558,2.8473599,4.6012454,4.5783834,0,0,0,0,1,0,0,0,0
12-1,7,1981,73.689003,16.196899,16.713301,99.558098,4.2998538,2.7848198,2.8162048,4.6007414,12,1980,2,4.2770967,4.2615242,2.7402592,2.871155,2.864558,4.6106563,4.6012454,0,0,0,0,0,1,0,0,0
13-1,7,1982,72.418999,16.131399,16.246901,98.615097,4.2824688,2.7807677,2.7879021,4.5912242,13,1981,2,4.2998538,4.2770967,2.7848198,2.8162048,2.871155,4.6007414,4.6106563,0,0,0,0,0,0,1,0,0
14-1,7,1983,68.517998,16.305099,17.3696,100.0301,4.2270966,2.7914779,2.8547215,4.6054711,14,1982,2,4.2824688,4.2998538,2.7807677,2.7879021,2.8162048,4.5912242,4.6007414,0,0,0,0,0,0,0,1,0
15-1,7,1977,19.156,22.691999,7.0974998,95.707199,2.952616,3.1220124,1.9597425,4.5612936,15,1983,3,,,,,,,,0,1,0,0,0,0,0,0,0
16-1,7,1978,19.440001,20.6938,6.9468999,97.356903,2.9673328,3.029834,1.9382955,4.5783834,16,1977,3,2.952616,,3.1220124,1.9597425,,4.5612936,,0,0,1,0,0,0,0,0,0
17-1,7,1979,19.9,21.2048,6.8565001,99.608299,2.9907198,3.0542276,1.9251971,4.6012454,17,1978,3,2.9673328,2.952616,3.029834,1.9382955,1.9597425,4.5783834,4.5612936,0,0,0,1,0,0,0,0,0
18-1,7,1980,20.24,22.197001,6.6546998,100.5501,3.0076609,3.0999572,1.8953234,4.6106563,18,1979,3,2.9907198,2.9673328,3.0542276,1.9251971,1.9382955,4.6012454,4.5783834,0,0,0,0,1,0,0,0,0
19-1,7,1981,19.57,24.871401,6.2136002,99.558098,2.9739978,3.2137187,1.8267405,4.6007414,19,1980,3,3.0076609,2.9907198,3.0999572,1.8953234,1.9251971,4.6106563,4.6012454,0,0,0,0,0,1,0,0,0
20-1,7,1982,18.125,24.8447,5.7146001,98.615097,2.8972921,3.2126443,1.7430243,4.5912242,20,1981,3,2.9739978,3.0076609,3.2137187,1.8267405,1.8953234,4.6007414,4.6106563,0,0,0,0,0,0,1,0,0
21-1,7,1983,16.85,28.9077,7.3431001,100.0301,2.8243506,3.3641081,1.9937611,4.6054711,21,1982,3,2.8972921,2.9739978,3.2126443,1.7430243,1.8267405,4.5912242,4.6007414,0,0,0,0,0,0,0,1,0
22-1,8,1977,26.16,14.8283,8.4902,118.2223,3.2642314,2.6965375,2.1389127,4.7725668,22,1983,4,,,,,,,,0,1,0,0,0,0,0,0,0
23-1,8,1978,26.74,14.8379,8.7419996,120.1551,3.2861605,2.6971848,2.168139,4.7887836,23,1977,4,3.2642314,,2.6965375,2.1389127,,4.7725668,,0,0,1,0,0,0,0,0,0
24-1,8,1979,27.280001,14.8756,9.1869001,118.8319,3.3061538,2.6997223,2.2177787,4.77771,24,1978,4,3.2861605,3.2642314,2.6971848,2.168139,2.1389127,4.7887836,4.7725668,0,0,0,1,0,0,0,0,0
25-1,8,1980,27.83,15.2332,9.4035997,111.9164,3.3261147,2.7234774,2.2410927,4.717752,25,1979,4,3.3061538,3.2861605,2.6997223,2.2177787,2.168139,4.77771,4.7887836,0,0,0,0,1,0,0,0,0
26-1,8,1981,27.169001,17.252899,8.8938999,97.554001,3.3020766,2.8479803,2.1853657,4.5804062,26,1980,4,3.3261147,3.3061538,2.7234774,2.2410927,2.2177787,4.717752,4.77771,0,0,0,0,0,1,0,0,0
27-1,8,1982,24.504,19.314199,8.3905001,92.198196,3.1988363,2.9608405,2.1271002,4.5239406,27,1981,4,3.3020766,3.3261147,2.8479803,2.1853657,2.2410927,4.5804062,4.717752,0,0,0,0,0,0,1,0,0
28-1,8,1983,22.562,20.005501,7.4351001,92.404099,3.1162672,2.9960072,2.006212,4.5261712,28,1982,4,3.1988363,3.3020766,2.9608405,2.1271002,2.1853657,4.5239406,4.5804062,0,0,0,0,0,0,0,1,0
29-1,7,1976,86.677002,20.632299,22.3804,94.899101,4.4621887,3.0268579,3.1081855,4.552814,29,1983,5,,,,,,,,1,0,0,0,0,0,0,0,0
30-1,7,1977,87.099998,18.2782,22.2703,96.503799,4.4670568,2.905709,3.1032538,4.5695825,30,1976,5,4.4621887,,3.0268579,3.1081855,,4.552814,,0,1,0,0,0,0,0,0,0
31-1,7,1978,87,18.1369,25.167,98.816299,4.4659081,2.8979485,3.2255337,4.5932627,31,1977,5,4.4670568,4.4621887,2.905709,3.1032538,3.1081855,4.5695825,4.552814,0,0,1,0,0,0,0,0,0
32-1,7,1979,90.400002,18.1896,25.3515,100.4835,4.5042443,2.9008501,3.2328379,4.6099935,32,1978,5,4.4659081,4.4670568,2.8979485,3.2255337,3.1032538,4.5932627,4.5695825,0,0,0,1,0,0,0,0,0
33-1,7,1980,89.199997,19.289301,28.239401,100.1223,4.490881,2.9595506,3.3407183,4.6063924,33,1979,5,4.5042443,4.4659081,2.9008501,3.2328379,3.2255337,4.6099935,4.5932627,0,0,0,0,1,0,0,0,0
