obs,chnimp,bchlimp,befile6,affile6,afdec6,befile12,affile12,afdec12,chempi,gas,rtwex,spr,sum,fall,time,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,percchn
1978M02,220.4620,9578.376,0,0,0,0,0,0,100.1,7830000000,86.74,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2.301664
1978M03,94.7980,11219.480,0,0,0,0,0,0,100.9,8830000000,85.63,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0.844941
1978M04,219.3575,9719.900,0,0,0,0,0,0,101.1,8460000000,85.42,1,0,0,3,0,0,1,0,0,0,0,0,0,0,0,2.256788
1978M05,317.4215,12920.950,0,0,0,0,0,0,102.5,9240000000,87.29,1,0,0,4,0,0,0,1,0,0,0,0,0,0,0,2.456642
1978M06,114.6390,9790.446,0,0,0,0,0,0,104.1,9150000000,86.60,0,1,0,5,0,0,0,0,1,0,0,0,0,0,0,1.170927
1978M07,129.5240,11020.470,0,0,0,0,0,0,104.8,9520000000,84.63,0,1,0,6,0,0,0,0,0,1,0,0,0,0,0,1.175304
1978M08,110.0920,8302.168,0,0,0,0,0,0,104.7,9770000000,82.57,0,1,0,7,0,0,0,0,0,0,1,0,0,0,0,1.326063
1978M09,39.6830,9583.325,0,0,0,0,0,0,105.8,9390000000,82.33,0,0,1,8,0,0,0,0,0,0,0,1,0,0,0,0.414084
1978M10,262.8230,9880.729,0,0,0,0,0,0,106.8,9390000000,79.45,0,0,1,9,0,0,0,0,0,0,0,0,1,0,0,2.659956
1978M11,173.9980,9003.923,0,0,0,0,0,0,107.7,9610000000,82.24,0,0,1,10,0,0,0,0,0,0,0,0,0,1,0,1.932469
1978M12,548.9455,10153.390,0,0,0,0,0,0,107.9,10200000000,81.94,0,0,0,11,0,0,0,0,0,0,0,0,0,0,1,5.406525
1979M01,433.9755,10527.060,0,0,0,0,0,0,112.5,9530000000,81.29,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,4.122476
1979M02,213.7855,9238.292,0,0,0,0,0,0,113.7,8200000000,82.23,0,0,0,13,1,0,0,0,0,0,0,0,0,0,0,2.314124
1979M03,788.6440,11740.390,0,0,0,0,0,0,113.0,8720000000,82.53,1,0,0,14,0,1,0,0,0,0,0,0,0,0,0,6.717358
1979M04,287.0395,13699.070,0,0,0,0,0,0,113.2,8590000000,83.76,1,0,0,15,0,0,1,0,0,0,0,0,0,0,0,2.095321
1979M05,278.9545,17716.330,0,0,0,0,0,0,114.3,9000000000,85.05,1,0,0,16,0,0,0,1,0,0,0,0,0,0,0,1.574561
1979M06,429.8970,15868.760,0,0,0,0,0,0,113.2,8880000000,84.78,0,1,0,17,0,0,0,0,1,0,0,0,0,0,0,2.709078
1979M07,344.8820,15512.320,0,0,0,0,0,0,114.7,9200000000,82.17,0,1,0,18,0,0,0,0,0,1,0,0,0,0,0,2.223278
1979M08,538.9150,13831.560,0,0,0,0,0,0,116.1,9050000000,83.00,0,1,0,19,0,0,0,0,0,0,1,0,0,0,0,3.896271
1979M09,535.7180,13669.760,0,0,0,0,0,0,115.5,8430000000,82.64,0,0,1,20,0,0,0,0,0,0,0,1,0,0,0,3.919001
1979M10,445.3290,16691.210,0,0,0,0,0,0,115.2,8520000000,83.43,0,0,1,21,0,0,0,0,0,0,0,0,1,0,0,2.668045
1979M11,649.2550,16617.330,0,0,0,0,0,0,117.2,8460000000,84.19,0,0,1,22,0,0,0,0,0,0,0,0,0,1,0,3.907096
1979M12,639.3350,15912.760,0,0,0,0,0,0,117.7,9120000000,82.84,0,0,0,23,0,0,0,0,0,0,0,0,0,0,1,4.017751
1980M01,209.4370,9401.297,0,0,0,0,0,0,118.8,9130000000,82.08,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,2.227746
1980M02,512.5915,9195.309,0,0,0,0,0,0,118.5,8420000000,83.18,0,0,0,25,1,0,0,0,0,0,0,0,0,0,0,5.574489
1980M03,605.3425,11727.520,0,0,0,0,0,0,116.4,8550000000,87.58,1,0,0,26,0,1,0,0,0,0,0,0,0,0,0,5.161727
1980M04,144.2360,20584.260,0,0,0,0,0,0,114.0,7960000000,88.28,1,0,0,27,0,0,1,0,0,0,0,0,0,0,0,0.700710
1980M05,405.5360,8929.146,0,0,0,0,0,0,108.6,8270000000,84.49,1,0,0,28,0,0,0,1,0,0,0,0,0,0,0,4.541711
1980M06,621.1075,10912.110,0,0,0,0,0,0,104.1,8320000000,83.34,0,1,0,29,0,0,0,0,1,0,0,0,0,0,0,5.691910
1980M07,893.7185,13581.910,0,0,0,0,0,0,103.7,8470000000,82.12,0,1,0,30,0,0,0,0,0,1,0,0,0,0,0,6.580212
1980M08,140.2300,9218.409,0,0,0,0,0,0,107.8,8460000000,83.73,0,1,0,31,0,0,0,0,0,0,1,0,0,0,0,1.521195
1980M09,243.4765,20751.770,0,0,0,0,0,0,112.7,8080000000,83.13,0,0,1,32,0,0,0,0,0,0,0,1,0,0,0,1.173281
1980M10,330.5750,12935.290,0,0,0,0,0,0,114.0,8030000000,84.46,0,0,1,33,0,0,0,0,0,0,0,0,1,0,0,2.555606
1980M11,46.5860,26984.200,0,0,0,0,0,0,115.5,8190000000,87.13,0,0,1,34,0,0,0,0,0,0,0,0,0,1,0,0.172642
1980M12,215.1960,18886.380,0,0,0,0,0,0,119.2,8700000000,89.13,0,0,0,35,0,0,0,0,0,0,0,0,0,0,1,1.139424
1981M01,214.8385,25679.510,0,0,0,0,0,0,119.3,8750000000,89.28,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0.836615
1981M02,238.2085,15502.940,0,0,0,0,0,0,119.8,7420000000,93.97,0,0,0,37,1,0,0,0,0,0,0,0,0,0,0,1.536538
1981M03,265.6545,18247.140,0,0,0,0,0,0,119.1,8120000000,93.96,1,0,0,38,0,1,0,0,0,0,0,0,0,0,0,1.455869
1981M04,315.2515,12060.010,0,0,0,0,0,0,119.8,7740000000,96.16,1,0,0,39,0,0,1,0,0,0,0,0,0,0,0,2.614023
1981M05,426.5905,17777.610,0,0,0,0,0,0,120.2,8030000000,100.89,1,0,0,40,0,0,0,1,0,0,0,0,0,0,0,2.399594
1981M06,124.7860,14406.150,0,0,0,0,0,0,119.0,7900000000,104.34,0,1,0,41,0,0,0,0,1,0,0,0,0,0,0,0.866200
1981M07,387.8990,20570.360,0,0,0,0,0,0,120.7,8420000000,107.63,0,1,0,42,0,0,0,0,0,1,0,0,0,0,0,1.885718
