crime,priv,police,enroll
446,0,24,21836
1,0,13,6485
1,0,3,2123
121,0,17,8240
470,0,30,19793
25,1,9,3256
67,0,20,11990
1327,0,44,42615
43,1,7,5112
484,0,18,17689
170,0,21,29088
1145,0,32,35210
54,1,5,4481
82,1,6,13570
468,0,12,18772
491,0,11,17572
499,0,10,15669
186,0,12,10359
684,0,16,19820
65,1,2,8173
326,1,17,7910
1712,0,74,30796
1384,0,47,24011
781,0,24,16897
395,0,16,17812
124,0,8,11188
568,0,21,23958
411,0,14,23958
140,0,8,12412
157,1,5,2746
152,0,9,21779
170,0,22,31804
1962,0,48,42790
178,0,48,6921
194,0,14,8652
106,0,15,12530
90,0,8,6271
2052,0,26,35343
580,0,25,27901
1372,0,36,56350
276,0,63,11382
935,0,25,24620
89,0,11,11967
17,0,19,7116
42,0,12,7758
83,0,20,11739
144,0,16,5488
302,0,28,9831
896,0,60,33376
175,1,26,9689
62,1,7,4720
525,0,19,18685
414,0,32,18607
495,0,27,24525
38,0,5,8940
444,0,35,16318
1839,0,51,54311
361,0,24,18688
1202,0,50,30051
294,0,27,24947
145,0,21,15164
50,0,6,5803
351,0,27,19770
85,0,8,2167
47,0,7,3850
691,0,26,21250
118,0,10,6209
103,0,14,8165
44,1,9,1799
239,0,19,14620
202,0,14,6555
58,0,8,3712
64,0,11,3290
43,0,5,2446
53,0,6,4100
969,0,48,38989
129,0,12,5363
728,0,48,26266
246,0,31,1859
456,0,25,25135
982,0,65,49961
72,0,9,8980
252,0,15,16798
169,0,14,15759
233,0,9,10654
55,0,1,5861
113,0,7,9034
1228,0,41,43030
347,0,32,26040
170,0,12,11790
114,0,10,5141
90,0,7,5601
56,0,4,3176
187,0,9,10992
15,1,7,5034
426,1,5,7710
616,0,32,20693
