salary,pcsalary,sales,roe,pcroe,ros,indus,finance,consprod,utility
1095,20,27595.0,14.1,106.4,191,1,0,0,0
1001,32,9958.0,10.9,-30.6,13,1,0,0,0
1122,9,6125.9,23.5,-16.3,14,1,0,0,0
578,-9,16246.0,5.9,-25.7,-21,1,0,0,0
1368,7,21783.2,13.8,-3.0,56,1,0,0,0
1145,5,6021.4,20.0,1.0,55,1,0,0,0
1078,10,2266.7,16.4,-5.9,62,1,0,0,0
1094,7,2966.8,16.3,-1.6,44,1,0,0,0
1237,16,4570.2,10.5,-70.2,37,1,0,0,0
833,5,2830.0,26.3,-23.9,37,1,0,0,0
567,7,596.8,25.9,39.5,109,1,0,0,0
933,-3,19773.0,26.8,-26.8,-10,1,0,0,0
1339,-9,40047.0,14.8,12.1,41,1,0,0,0
937,9,2513.8,22.3,9.8,44,1,0,0,0
2011,49,1580.6,56.3,62.2,63,1,0,0,0
1585,4,6754.0,12.6,9.3,17,1,0,0,0
905,12,1066.3,20.4,33.8,141,1,0,0,0
1058,94,3199.9,1.9,-86.8,-15,1,0,0,0
922,48,1452.7,19.9,97.3,56,1,0,0,0
1220,-7,8995.0,15.4,19.5,28,1,0,0,0
1022,16,1212.3,38.7,162.9,83,1,0,0,0
759,12,2824.2,16.4,-9.4,21,1,0,0,0
1414,0,7621.0,24.4,-30.2,-10,1,0,0,0
1041,-11,4418.3,15.6,-7.5,74,1,0,0,0
1688,1,12343.0,14.4,-16.8,15,1,0,0,0
2983,13,57662.0,19.0,9.9,42,1,0,0,0
1160,0,4319.7,16.1,-23.3,-2,1,0,0,0
3844,61,20604.0,12.1,-5.9,18,1,0,0,0
476,6,611.3,16.2,-15.7,40,1,0,0,0
1492,10,12431.7,18.4,-23.3,58,1,0,0,0
1024,-3,8169.0,14.2,-36.2,-10,1,0,0,0
1593,18,20659.0,14.9,410.3,16,1,0,0,0
427,27,3072.1,12.4,-17.7,61,1,0,0,0
829,5,1669.1,17.1,-39.3,64,1,0,0,0
797,-3,2401.2,16.9,6.0,39,1,0,0,0
577,23,3043.6,18.1,-13.5,1,1,0,0,0
1342,7,6222.2,10.9,-6.0,59,1,0,0,0
1774,0,7727.9,19.3,15.3,19,1,0,0,0
709,11,719.5,18.3,4.6,65,1,0,0,0
860,28,3921.3,18.4,34.7,45,1,0,0,0
1336,20,5155.1,13.8,1.7,7,1,0,0,0
516,-2,649.2,13.7,-10.3,27,1,0,0,0
931,20,10885.0,12.7,14.5,10,1,0,0,0
815,12,1651.9,15.1,-2.4,33,1,0,0,0
1681,20,12915.0,16.5,-66.7,29,1,0,0,0
568,-36,11436.0,10.2,-48.3,-19,1,0,0,0
775,7,2210.3,19.6,18.9,34,1,0,0,0
1188,9,3737.8,12.8,32.5,15,1,0,0,0
782,-1,1976.7,15.9,-0.6,24,1,0,0,0
1170,0,2576.0,17.3,-39.1,93,1,0,0,0
1469,8,6309.1,8.5,93.9,79,1,0,0,0
916,-1,2940.5,16.4,25.8,105,1,0,0,0
1070,-9,1072.6,19.5,34.8,269,1,0,0,0
894,1,1534.0,19.2,-3.7,74,1,0,0,0
829,-4,2158.8,15.9,-27.6,-18,1,0,0,0
780,17,1736.0,19.9,50.7,23,1,0,0,0
2327,10,3598.8,28.1,-28.3,104,1,0,0,0
717,20,1413.6,25.0,-15.8,56,1,0,0,0
1368,9,13538.0,15.0,-8.8,-43,1,0,0,0
2028,185,69018.0,12.6,2.3,10,1,0,0,0
1195,2,6285.0,20.3,6.3,49,1,0,0,0
256,19,526.3,22.7,24.7,175,1,0,0,0
775,-10,3195.6,14.8,-32.6,12,1,0,0,0
1407,80,2762.8,13.2,-17.4,28,1,0,0,0
543,14,1873.1,10.3,-45.0,-58,1,0,0,0
874,-10,4648.1,17.7,-13.9,-6,1,0,0,0
1287,-3,16951.0,10.0,-1.0,-21,1,0,0,0
1248,16,3506.9,15.6,5.0,54,0,1,0,0
875,-19,5333.1,6.8,27.6,-8,0,1,0,0
925,-3,3296.2,12.4,-56.9,-21,0,1,0,0
798,-6,2584.0,13.1,-50.5,10,0,1,0,0
