lnchprg,enroll,staff,expend,salary,benefits,droprate,gradrate,math10,sci11,totcomp,ltotcomp,lexpend,lenroll,lstaff,bensal,lsalary
1.4,1862,112.6,5765,37498,7420,2.9,89.2,56.4,67.9,44918,10.71259,8.659560,7.529407,4.723842,0.197877,10.532040
2.3,11355,101.2,6601,48722,10370,1.3,91.4,42.7,65.3,59092,10.98685,8.794976,9.337414,4.617099,0.212840,10.793890
2.7,7685,114.0,6834,44541,7313,3.5,91.4,43.8,54.3,51854,10.85619,8.829665,8.947025,4.736198,0.164186,10.704170
3.4,1148,85.4,3586,31566,5989,3.6,86.6,25.3,60.0,37555,10.53356,8.184793,7.045776,4.447346,0.189729,10.359840
3.4,1572,96.1,3847,29781,5545,0.0,100.0,15.3,65.8,35326,10.47237,8.255049,7.360104,4.565389,0.186193,10.301630
3.4,2496,101.1,5070,36801,5895,2.7,89.2,46.0,60.5,42696,10.66186,8.531096,7.822445,4.616110,0.160186,10.513280
3.6,3358,87.6,4474,37863,6934,1.4,95.1,33.6,67.4,44797,10.70990,8.406038,8.119101,4.472781,0.183134,10.541730
3.6,11983,96.0,5159,40133,8085,2.5,87.8,40.1,69.4,48218,10.78349,8.548498,9.391244,4.564348,0.201455,10.599950
4.2,3499,102.8,5012,36451,7253,1.8,93.2,42.1,71.7,43704,10.68519,8.519590,8.160233,4.632785,0.198980,10.503720
4.2,5095,145.0,6501,33449,7386,1.9,92.1,39.8,55.0,40835,10.61730,8.779712,8.536015,4.976734,0.220814,10.417780
4.5,16793,106.9,5938,40859,8754,3.0,88.2,30.8,58.1,49613,10.81201,8.689128,9.728718,4.671894,0.214249,10.617880
4.5,984,100.9,5987,42785,9279,5.6,79.3,14.6,74.6,52064,10.86023,8.697346,6.891626,4.614130,0.216875,10.663940
5.1,1116,107.1,4843,34085,5907,0.6,97.5,51.1,48.6,39992,10.59643,8.485290,7.017506,4.673763,0.173302,10.436610
5.5,4156,101.2,4255,29700,5295,5.3,79.7,29.2,55.0,34995,10.46296,8.355850,8.332309,4.617099,0.178283,10.298900
5.5,4046,99.9,5332,47436,3,0.2,98.4,49.7,62.0,47439,10.76720,8.581482,8.305484,4.604170,0.000063,10.767140
5.6,10695,125.8,6806,40304,7309,1.1,89.8,42.6,53.1,47613,10.77086,8.825560,9.277532,4.834693,0.181347,10.604210
5.8,3117,122.8,6169,38873,6265,2.4,90.7,35.0,54.1,45138,10.71748,8.727292,8.044626,4.810557,0.161166,10.568060
6.1,2168,108.4,5235,35536,6555,4.1,84.7,35.9,45.4,42091,10.64759,8.563122,7.681561,4.685828,0.184461,10.478300
6.2,2317,80.3,4196,37350,6987,1.6,93.8,17.8,44.5,44337,10.69957,8.341887,7.748029,4.385770,0.187068,10.528090
6.2,1391,109.3,4854,31076,6434,23.4,90.0,25.5,74.4,37510,10.53236,8.487558,7.237778,4.694097,0.207041,10.344190
6.3,3691,82.7,4088,35538,6408,1.4,94.1,33.2,69.2,41946,10.64414,8.315811,8.213653,4.415220,0.180314,10.478360
