exp,wks,occ,ind,south,smsa,ms,fem,union,ed,blk,lwage,id,t,tdum1,tdum2,tdum3,tdum4,tdum5,tdum6,tdum7,exp2
3,32,0,0,1,0,1,0,0,9,0,5.5606799,1,1,1,0,0,0,0,0,0,9
4,43,0,0,1,0,1,0,0,9,0,5.7203102,1,2,0,1,0,0,0,0,0,16
5,40,0,0,1,0,1,0,0,9,0,5.9964499,1,3,0,0,1,0,0,0,0,25
6,39,0,0,1,0,1,0,0,9,0,5.9964499,1,4,0,0,0,1,0,0,0,36
7,42,0,1,1,0,1,0,0,9,0,6.06146,1,5,0,0,0,0,1,0,0,49
8,35,0,1,1,0,1,0,0,9,0,6.17379,1,6,0,0,0,0,0,1,0,64
9,32,0,1,1,0,1,0,0,9,0,6.2441702,1,7,0,0,0,0,0,0,1,81
30,34,1,0,0,0,1,0,0,11,0,6.1633101,2,1,1,0,0,0,0,0,0,900
31,27,1,0,0,0,1,0,0,11,0,6.2146101,2,2,0,1,0,0,0,0,0,961
32,33,1,1,0,0,1,0,1,11,0,6.2634001,2,3,0,0,1,0,0,0,0,1024
33,30,1,1,0,0,1,0,0,11,0,6.54391,2,4,0,0,0,1,0,0,0,1089
34,30,1,1,0,0,1,0,0,11,0,6.6970301,2,5,0,0,0,0,1,0,0,1156
35,37,1,1,0,0,1,0,0,11,0,6.7912202,2,6,0,0,0,0,0,1,0,1225
36,30,1,1,0,0,1,0,0,11,0,6.81564,2,7,0,0,0,0,0,0,1,1296
6,50,1,1,0,0,1,0,1,12,0,5.6524901,3,1,1,0,0,0,0,0,0,36
7,51,1,1,0,0,1,0,1,12,0,6.4361501,3,2,0,1,0,0,0,0,0,49
8,50,1,1,0,0,1,0,1,12,0,6.5482202,3,3,0,0,1,0,0,0,0,64
9,52,1,1,0,0,1,0,1,12,0,6.6025901,3,4,0,0,0,1,0,0,0,81
10,52,1,1,0,0,1,0,1,12,0,6.6957998,3,5,0,0,0,0,1,0,0,100
11,52,1,1,0,0,0,0,1,12,0,6.77878,3,6,0,0,0,0,0,1,0,121
12,46,1,1,0,0,0,0,1,12,0,6.8606601,3,7,0,0,0,0,0,0,1,144
31,52,1,0,0,1,0,1,0,10,1,6.15698,4,1,1,0,0,0,0,0,0,961
32,46,1,0,0,1,0,1,0,10,1,6.2383199,4,2,0,1,0,0,0,0,0,1024
33,46,1,0,0,1,0,1,0,10,1,6.3007898,4,3,0,0,1,0,0,0,0,1089
34,49,1,0,0,1,0,1,0,10,1,6.35957,4,4,0,0,0,1,0,0,0,1156
35,44,1,0,0,1,0,1,0,10,1,6.4692502,4,5,0,0,0,0,1,0,0,1225
36,52,1,0,0,1,0,1,0,10,1,6.5624399,4,6,0,0,0,0,0,1,0,1296
37,46,1,0,0,1,0,1,0,10,1,6.6214099,4,7,0,0,0,0,0,0,1,1369
10,50,1,0,0,0,1,0,1,16,0,6.4377499,5,1,1,0,0,0,0,0,0,100
11,46,1,0,0,0,1,0,1,16,0,6.62007,5,2,0,1,0,0,0,0,0,121
12,40,1,0,0,0,1,0,1,16,0,6.6333199,5,3,0,0,1,0,0,0,0,144
13,50,0,0,0,0,1,0,0,16,0,6.9828601,5,4,0,0,0,1,0,0,0,169
14,47,1,0,0,1,1,0,0,16,0,7.0475202,5,5,0,0,0,0,1,0,0,196
15,47,0,0,0,0,1,0,0,16,0,7.31322,5,6,0,0,0,0,0,1,0,225
16,49,0,0,0,0,1,0,0,16,0,7.2957401,5,7,0,0,0,0,0,0,1,256
26,44,1,1,0,1,1,0,0,12,0,6.9057498,6,1,1,0,0,0,0,0,0,676
27,47,1,1,0,1,1,0,0,12,0,6.9057498,6,2,0,1,0,0,0,0,0,729
28,47,1,1,0,1,1,0,0,12,0,6.9077601,6,3,0,0,1,0,0,0,0,784
29,47,1,1,0,1,1,0,0,12,0,7.0030699,6,4,0,0,0,1,0,0,0,841
30,44,1,1,0,1,1,0,0,12,0,7.0690198,6,5,0,0,0,0,1,0,0,900
31,45,1,1,0,1,1,0,0,12,0,7.5202298,6,6,0,0,0,0,0,1,0,961
32,47,1,1,0,1,1,0,0,12,0,7.3388901,6,7,0,0,0,0,0,0,1,1024
15,46,1,0,0,0,1,0,1,12,0,6.1334,7,1,1,0,0,0,0,0,0,225
16,48,1,0,0,0,1,0,1,12,0,6.17379,7,2,0,1,0,0,0,0,0,256
17,49,1,0,0,0,1,0,1,12,0,6.2126098,7,3,0,0,1,0,0,0,0,289
18,46,1,0,0,0,1,0,1,12,0,6.31355,7,4,0,0,0,1,0,0,0,324
19,47,1,0,0,0,1,0,1,12,0,6.37502,7,5,0,0,0,0,1,0,0,361
20,47,1,0,0,0,1,0,1,12,0,6.4457202,7,6,0,0,0,0,0,1,0,400
21,48,1,0,0,0,1,0,1,12,0,6.52209,7,7,0,0,0,0,0,0,1,441
23,51,1,1,1,0,1,0,1,10,0,6.3315001,8,1,1,0,0,0,0,0,0,529
24,50,1,1,1,0,1,0,1,10,0,6.4035702,8,2,0,1,0,0,0,0,0,576
25,50,1,1,1,0,1,0,1,10,0,6.54391,8,3,0,0,1,0,0,0,0,625
26,50,1,1,1,0,1,0,1,10,0,6.5624399,8,4,0,0,0,1,0,0,0,676
27,44,1,1,0,1,1,0,1,10,0,6.59167,8,5,0,0,0,0,1,0,0,729
28,51,1,1,0,1,1,0,1,10,0,6.8178301,8,6,0,0,0,0,0,1,0,784
29,51,1,1,0,1,1,0,1,10,0,6.8916302,8,7,0,0,0,0,0,0,1,841
3,50,0,0,1,1,1,0,0,16,0,6.5510802,9,1,1,0,0,0,0,0,0,9
4,48,0,0,1,1,1,0,0,16,0,6.5510802,9,2,0,1,0,0,0,0,0,16
5,50,0,0,1,1,1,0,0,16,0,6.8023901,9,3,0,0,1,0,0,0,0,25
6,48,0,0,1,1,1,0,0,16,0,6.9077601,9,4,0,0,0,1,0,0,0,36
7,48,0,0,1,1,1,0,0,16,0,7.0900798,9,5,0,0,0,0,1,0,0,49
8,44,0,0,1,1,1,0,0,16,0,7.1701198,9,6,0,0,0,0,0,1,0,64
9,48,0,0,1,1,1,0,0,16,0,7.20786,9,7,0,0,0,0,0,0,1,81
3,49,0,0,1,1,1,0,0,16,0,6.3969302,10,1,1,0,0,0,0,0,0,9
4,47,0,0,1,1,1,0,0,16,0,6.4377499,10,2,0,1,0,0,0,0,0,16
5,46,0,0,1,1,1,0,0,16,0,6.4377499,10,3,0,0,1,0,0,0,0,25
6,44,0,0,1,1,1,0,0,16,0,6.4377499,10,4,0,0,0,1,0,0,0,36
7,43,0,0,1,1,1,0,0,16,0,6.52209,10,5,0,0,0,0,1,0,0,49
8,34,0,0,1,1,1,0,0,16,0,6.61338,10,6,0,0,0,0,0,1,0,64
9,40,0,0,1,1,1,0,0,16,0,6.7393398,10,7,0,0,0,0,0,0,1,81
24,47,1,0,0,1,0,0,1,12,0,6.65801,11,1,1,0,0,0,0,0,0,576
25,48,1,0,0,1,0,0,1,12,0,6.7262301,11,2,0,1,0,0,0,0,0,625
26,45,1,0,0,1,0,0,1,12,0,6.8023901,11,3,0,0,1,0,0,0,0,676
27,45,1,0,0,1,1,0,1,12,0,6.9077601,11,4,0,0,0,1,0,0,0,729
28,47,1,0,0,1,1,0,1,12,0,7.03966,11,5,0,0,0,0,1,0,0,784
29,17,1,0,0,1,1,0,1,12,0,7.1276898,11,6,0,0,0,0,0,1,0,841
30,47,1,0,0,1,1,0,1,12,0,7.2442298,11,7,0,0,0,0,0,0,1,900
21,47,1,0,1,1,1,0,1,12,0,6.5510802,12,1,1,0,0,0,0,0,0,441
22,46,1,0,1,1,1,0,1,12,0,6.6293602,12,2,0,1,0,0,0,0,0,484
23,47,1,0,1,1,1,0,1,12,0,6.72263,12,3,0,0,1,0,0,0,0,529
24,47,1,0,1,1,1,0,1,12,0,6.7333999,12,4,0,0,0,1,0,0,0,576
25,47,1,0,1,1,1,0,1,12,0,6.72263,12,5,0,0,0,0,1,0,0,625
26,47,1,0,1,1,1,0,1,12,0,6.9517698,12,6,0,0,0,0,0,1,0,676
27,46,1,0,1,1,1,0,1,12,0,7.0527201,12,7,0,0,0,0,0,0,1,729
26,48,1,0,1,1,1,0,0,12,0,6.9057498,13,1,1,0,0,0,0,0,0,676
27,48,1,0,1,1,1,0,0,12,0,6.9007301,13,2,0,1,0,0,0,0,0,729
28,50,1,0,1,1,1,0,0,12,0,7.1701198,13,3,0,0,1,0,0,0,0,784
29,48,1,0,1,1,1,0,0,12,0,7.26543,13,4,0,0,0,1,0,0,0,841
30,48,1,0,1,1,1,0,0,12,0,7.25912,13,5,0,0,0,0,1,0,0,900
31,46,0,0,1,1,1,0,0,12,0,7.25488,13,6,0,0,0,0,0,1,0,961
32,46,1,0,1,1,1,0,0,12,0,7.4000101,13,7,0,0,0,0,0,0,1,1024
15,45,0,0,1,1,1,0,0,17,0,6.8023901,14,1,1,0,0,0,0,0,0,225
16,45,0,0,1,1,1,0,0,17,0,6.8023901,14,2,0,1,0,0,0,0,0,256
17,45,0,0,1,1,1,0,0,17,0,6.9256001,14,3,0,0,1,0,0,0,0,289
18,44,0,0,1,1,1,0,0,17,0,7.0030699,14,4,0,0,0,1,0,0,0,324
19,44,0,0,1,1,1,0,0,17,0,7.1308999,14,5,0,0,0,0,1,0,0,361
20,44,0,0,1,1,1,0,0,17,0,7.1244798,14,6,0,0,0,0,0,1,0,400
21,44,0,0,1,1,1,0,0,17,0,7.12287,14,7,0,0,0,0,0,0,1,441
9,50,0,0,0,0,0,1,0,14,0,5.9401698,15,1,1,0,0,0,0,0,0,81
10,46,0,0,0,0,0,1,0,14,0,5.8607898,15,2,0,1,0,0,0,0,0,100
11,48,0,0,0,0,0,1,0,14,0,5.99894,15,3,0,0,1,0,0,0,0,121
12,46,0,0,0,0,0,1,0,14,0,6.0844998,15,4,0,0,0,1,0,0,0,144
13,48,0,0,0,0,0,1,0,14,0,6.3952599,15,5,0,0,0,0,1,0,0,169
14,41,0,0,0,0,0,1,0,14,0,6.4769702,15,6,0,0,0,0,0,1,0,196
15,48,0,0,0,0,0,1,0,14,0,6.4769702,15,7,0,0,0,0,0,0,1,225
16,50,1,0,1,1,0,1,0,12,1,5.9788899,16,1,1,0,0,0,0,0,0,256
17,50,1,0,1,1,0,1,0,12,1,5.7838302,16,2,0,1,0,0,0,0,0,289
18,48,1,0,1,1,0,1,0,12,1,5.8579302,16,3,0,0,1,0,0,0,0,324
19,48,1,0,1,1,0,1,0,12,1,5.9532399,16,4,0,0,0,1,0,0,0,361
20,50,1,0,1,1,0,1,0,12,1,6.1463299,16,5,0,0,0,0,1,0,0,400
21,50,1,0,1,1,0,1,0,12,1,6.1758699,16,6,0,0,0,0,0,1,0,441
22,49,1,0,1,1,0,1,0,12,1,6.3885598,16,7,0,0,0,0,0,0,1,484
16,49,0,1,0,0,1,0,0,14,0,6.62007,17,1,1,0,0,0,0,0,0,256
17,48,0,1,0,0,1,0,0,14,0,6.49224,17,2,0,1,0,0,0,0,0,289
18,49,0,1,0,0,1,0,0,14,0,6.7799201,17,3,0,0,1,0,0,0,0,324
19,50,0,1,0,0,1,0,0,14,0,6.7452402,17,4,0,0,0,1,0,0,0,361
20,51,0,1,0,0,1,0,0,14,0,7.0900798,17,5,0,0,0,0,1,0,0,400
21,46,0,1,0,0,1,0,0,14,0,7.1308999,17,6,0,0,0,0,0,1,0,441
22,47,0,1,0,0,1,0,0,14,0,7.1308999,17,7,0,0,0,0,0,0,1,484
25,47,0,1,1,1,1,0,0,16,0,6.9057498,18,1,1,0,0,0,0,0,0,625
26,46,0,1,1,1,1,0,0,16,0,6.9057498,18,2,0,1,0,0,0,0,0,676
27,47,0,1,1,1,1,0,0,16,0,7.6009002,18,3,0,0,1,0,0,0,0,729
28,47,0,1,1,1,1,0,0,16,0,7.6496902,18,4,0,0,0,1,0,0,0,784
