obs,resul,lengua,programa
70,57,52,general
121,68,59,vocacional
86,44,33,general
141,63,44,vocacional
172,47,52,academico
113,44,52,academico
50,50,59,general
84,63,57,general
48,57,55,academico
75,60,46,vocacional
60,57,65,academico
95,73,60,academico
104,54,63,academico
38,45,57,academico
115,42,49,general
76,47,52,academico
195,57,57,general
114,68,65,academico
85,55,39,general
167,63,49,general
143,63,63,vocacional
41,50,40,academico
20,60,52,academico
154,65,65,academico
178,47,57,vocacional
196,44,38,academico
29,52,44,general
126,42,31,general
103,76,52,academico
192,65,67,academico
150,42,41,vocacional
199,52,59,academico
144,60,65,general
200,68,54,academico
80,65,62,academico
16,47,31,vocacional
176,47,47,academico
177,55,59,academico
168,52,54,academico
40,42,41,general
62,65,65,general
169,55,59,general
49,50,40,vocacional
136,65,59,academico
189,47,59,academico
7,57,54,academico
27,53,61,academico
21,44,44,general
183,63,59,academico
132,73,62,academico
22,42,39,vocacional
185,63,57,academico
9,48,49,vocacional
181,50,46,academico
170,47,62,academico
134,44,44,general
197,50,42,academico
140,44,41,vocacional
171,60,54,academico
107,47,39,vocacional
81,63,43,academico
18,50,33,vocacional
155,44,44,general
97,60,54,academico
68,73,67,academico
157,68,59,general
56,55,45,vocacional
5,47,40,academico
159,55,61,academico
123,68,59,general
14,47,41,academico
127,63,59,academico
174,68,59,academico
3,63,65,academico
58,55,41,vocacional
146,55,62,academico
102,52,41,academico
133,50,31,vocacional
94,55,49,academico
24,52,62,academico
149,63,49,general
82,68,62,academico
129,44,44,general
173,50,62,general
57,71,65,academico
100,63,65,academico
194,63,63,academico
88,68,60,academico
99,47,59,general
47,47,46,academico
120,63,52,academico
166,52,59,academico
65,55,54,academico
101,60,62,academico
54,47,54,general
180,71,65,academico
162,57,52,vocacional
4,44,50,academico
131,65,59,academico
125,68,65,academico
34,73,61,academico
130,43,54,general
93,73,67,academico
163,52,57,academico
37,41,47,vocacional
35,60,54,general
87,50,52,general
73,50,52,academico
151,47,46,vocacional
44,47,62,vocacional
152,55,57,academico
105,50,41,academico
91,50,49,vocacional
116,57,59,academico
33,57,65,academico
66,68,62,vocacional
72,42,54,vocacional
77,61,59,academico
61,76,63,academico
190,47,59,academico
42,46,52,vocacional
55,52,49,academico
90,42,54,academico
142,47,42,vocacional
17,47,57,academico
122,52,59,academico
191,47,52,academico
83,50,62,vocacional
182,44,52,academico
6,47,41,academico
46,45,55,academico
43,47,37,academico
96,65,54,academico
138,43,57,vocacional
10,47,54,general
71,57,62,general
139,68,59,academico
110,52,55,vocacional
148,42,57,vocacional
109,42,39,general
39,66,67,academico
147,47,62,academico
74,57,50,academico
198,47,61,academico
161,57,62,academico
112,52,59,academico
69,44,44,vocacional
156,50,59,academico
186,57,62,academico
98,57,60,vocacional
119,42,57,general
13,47,46,vocacional
51,42,36,general
26,60,59,academico
36,44,49,general
135,63,60,academico
59,65,67,academico
64,50,52,vocacional
63,52,65,general
79,60,62,academico
193,44,49,academico
92,52,67,general
160,55,65,academico
32,50,67,vocacional
23,65,65,academico
158,52,54,general
25,47,44,general
188,63,62,academico
52,50,46,academico
124,42,54,vocacional
184,50,52,vocacional
30,41,59,academico
179,47,65,academico
31,55,59,general
145,42,46,vocacional
187,57,41,general
118,55,62,general
137,63,65,academico
