voteA,district,democA,state,expendA,expendB,prtystrA,lexpendB,shareA
68,7,1,1,328.30,8.74,41,2.167567,97.41
62,1,0,2,626.38,402.48,60,5.997638,60.88
73,2,1,3,99.61,3.07,55,1.120048,97.01
69,3,0,3,319.69,26.28,64,3.268846,92.40
75,3,0,4,159.22,60.05,66,4.095244,72.61
69,4,1,4,570.16,21.39,46,3.063064,96.38
59,2,0,5,696.75,193.91,58,5.267420,78.23
71,3,1,5,638.69,7.70,49,2.040571,98.81
76,5,1,5,616.94,19.25,71,2.957251,96.97
73,6,1,5,351.69,50.53,64,3.922607,87.44
68,7,1,5,269.89,14.71,53,2.688528,94.83
71,11,1,5,269.51,95.57,58,4.559911,73.82
52,12,0,5,1440.64,1089.57,49,6.993538,56.94
79,16,1,5,252.34,69.56,54,4.242233,78.39
50,19,0,5,1470.67,1548.19,54,7.344844,48.72
64,23,1,5,140.49,100.96,56,4.614685,58.19
72,24,1,5,191.33,15.45,65,2.737544,92.53
68,27,1,5,398.60,15.24,54,2.723858,96.32
60,30,1,5,460.62,382.11,53,5.945711,54.66
67,32,1,5,457.41,20.61,49,3.025679,95.69
63,34,1,5,227.10,149.89,50,5.009875,60.24
54,36,1,5,532.90,218.70,47,5.387682,70.90
64,37,0,5,122.84,13.56,68,2.606977,90.06
67,40,0,5,1110.13,47.75,68,3.865895,95.88
64,42,0,5,494.49,11.89,65,2.475614,97.65
70,1,1,6,217.50,26.04,61,3.259634,89.31
63,2,1,6,721.65,85.10,50,4.443769,89.45
78,3,1,6,482.79,17.94,46,2.886810,96.42
75,5,0,6,183.23,0.93,67,-0.072571,99.50
63,6,0,6,636.20,489.30,57,6.192982,56.53
64,2,1,7,727.92,246.90,49,5.508996,74.67
72,4,0,7,372.68,44.41,57,3.793465,89.35
66,6,0,7,399.37,128.85,53,4.858672,75.61
68,1,1,8,371.75,184.71,43,5.218798,66.81
67,1,1,9,210.94,23.91,27,3.174381,89.82
50,4,0,9,313.42,1069.70,36,6.975132,22.66
54,6,0,9,408.29,503.65,61,6.221889,44.77
55,14,1,9,971.88,777.99,47,6.656711,55.54
72,19,1,9,337.60,4.91,41,1.590663,98.57
67,1,1,10,337.05,40.46,39,3.700339,89.28
60,4,1,10,516.74,696.30,41,6.545782,42.60
78,5,1,10,101.54,6.05,68,1.799562,94.38
59,6,0,10,838.71,358.35,67,5.881521,70.06
65,7,1,10,382.28,60.69,29,4.105845,86.30
63,9,1,10,405.04,64.40,29,4.165113,86.28
64,10,1,10,193.12,6.76,35,1.911023,96.62
63,2,1,11,502.08,206.96,33,5.332526,70.81
50,4,1,12,359.94,348.34,44,5.853176,50.82
61,5,1,12,165.14,48.94,48,3.890595,77.14
74,6,0,12,281.23,26.56,68,3.279218,91.37
66,9,1,12,122.90,28.32,61,3.343709,81.27
65,11,1,12,239.16,41.26,46,3.719869,85.29
65,17,1,12,471.23,124.13,53,4.821353,79.15
64,19,1,12,193.21,16.24,45,2.787539,92.25
69,20,1,12,251.63,57.71,49,4.055396,81.34
53,21,1,12,394.41,69.49,54,4.241125,85.02
53,2,1,13,444.42,332.88,35,5.807782,57.17
56,5,1,13,689.09,244.99,35,5.501197,73.77
73,6,0,13,333.72,11.74,69,2.463257,96.60
62,8,1,13,551.48,130.24,42,4.869402,80.90
61,10,1,13,35.79,24.92,51,3.215631,58.95
64,5,0,14,420.73,115.70,47,4.751009,78.43
64,6,0,14,523.11,175.95,50,5.170206,74.83
73,2,1,15,388.87,119.26,46,4.781331,76.53
74,3,0,15,234.58,13.48,54,2.601430,94.56
64,4,1,15,545.76,149.04,43,5.004181,78.55
61,2,1,16,8.40,84.10,41,4.432030,9.08
70,3,1,16,371.43,4.93,53,1.595542,98.69
74,4,0,16,468.87,23.64,65,3.162771,95.20
59,7,1,16,411.70,432.40,55,6.069358,48.77
66,2,0,17,202.32,68.39,55,4.225226,74.74
73,3,1,18,354.70,18.89,54,2.938792,94.94
60,4,1,19,343.10,34.37,57,3.537126,90.90
84,5,1,19,344.93,15.40,47,2.734108,95.73
70,6,1,19,337.20,63.01,50,4.143341,84.26
67,10,1,19,235.95,121.06,51,4.796253,66.09
54,2,0,20,876.78,750.49,58,6.620730,53.88
57,3,1,20,600.94,164.86,45,5.105072,78.47
71,4,0,20,323.83,8.58,63,2.149084,97.42
76,7,1,20,150.59,1.31,55,0.270027,99.14
72,8,1,20,128.40,2.19,50,0.782988,98.32
70,9,0,20,450.80,14.87,62,2.699077,96.81
60,11,0,20,680.82,415.66,52,6.029868,62.09
54,12,1,20,434.20,143.89,39,4.969021,75.11
63,14,1,20,137.56,3.54,44,1.263279,97.49
64,15,1,20,234.43,7.99,45,2.078566,96.70
23,18,1,20,9.46,77.10,30,4.345142,10.93
42,2,1,21,152.29,623.78,49,6.435791,19.62
28,4,0,21,35.79,216.17,39,5.376074,14.20
28,5,0,21,16.92,281.45,35,5.639973,5.67
35,6,0,21,100.94,320.22,49,5.769005,23.97
25,8,0,21,7.74,157.80,40,5.061341,4.68
37,3,0,22,202.52,512.21,53,6.238727,28.34
41,6,1,22,198.62,341.34,50,5.832891,36.78
47,7,1,22,215.06,338.13,39,5.823416,38.88
42,8,1,22,516.24,768.79,45,6.644820,40.17
32,9,0,22,9.56,210.84,55,5.351104,4.34
39,1,0,23,58.20,250.28,52,5.522564,18.87
45,2,1,23,394.10,380.93,46,5.942610,50.85
33,1,1,24,96.28,221.53,44,5.400558,30.29
49,2,0,24,1158.29,858.76,58,6.755492,57.42
